id,text
uwb-atcc_TWR-0AMqtR_000000_000713_PIAT,easy eight two eight uniform line up runway one three and wait to runway inspection that s copied line up and wait easy eight two eight uniform
uwb-atcc_TWR-0b24HJ_000063_000157_PI,tower
uwb-atcc_TWR-0b24HJ_000270_000343_PI,nine fi
uwb-atcc_TWR-0b24HJ_000560_000942_AT,csa nine five six ruzyne tower line up runway one three and wait
uwb-atcc_TWR-0b24HJ_000969_001112_PI,line up one three and wait cs
uwb-atcc_TWR-0C2QD3_000093_000707_PIAT,ruzyne tower csa nine six six ready for departure one three csa nine six six line up runway one three
uwb-atcc_TWR-0C2QD3_000832_001065_PI,lining up runway one three csa nine si
uwb-atcc_TWR-0EThn8_000154_000430_PI,oscar kilo bravo yankee romeo
uwb-atcc_TWR-0EThn8_000496_001086_AT,oscar kilo bravo yankee romeo
uwb-atcc_TWR-0EThn8_001301_001680_AT,boeing
uwb-atcc_TWR-0EThn8_002291_002369_PI,oscar yankee romeo
uwb-atcc_TWR-0EThn8_003268_003779_AT,shamrock six four four runway three one clear to land wind zero six zero degrees and five knots
uwb-atcc_TWR-0EThn8_003804_003963_PI,clear to land shamrock six four four
uwb-atcc_TWR-0J9tPU_000083_000691_PIAT,csa seven bravo juliett contact ground one two one nine two one nine csa seven bravo juliett
uwb-atcc_TWR-0J9tPU_001213_001660_PI,ruzyne tower csa six nine one established ils three one
uwb-atcc_TWR-0J9tPU_001822_002298_AT,break jobair zero seven two runway three one cleared to land wind one nine zero degrees three knots
uwb-atcc_TWR-0J9tPU_002338_002477_PI,cleared to land at three one job
uwb-atcc_TWR-0J9tPU_002612_002927_AT,csa six nine one tower continue approach runway three one
uwb-atcc_TWR-0J9tPU_002996_003175_PI,continue approach csa six nine one
uwb-atcc_TWR-0jGoka_000110_000284_PI,ruzyne tower victor tango charlie alfa
uwb-atcc_TWR-0jGoka_000478_000834_AT,v tango charlie alfa papa tower good morning stop at holding point
uwb-atcc_TWR-0jGoka_000952_001027_PI,t charlie alfa pa
uwb-atcc_TWR-0MXLA0_000117_000573_AT,nor shuttle one five zero two runway three one cleared to land wind two three zero degrees six knots
uwb-atcc_TWR-0MXLA0_000630_000900_PI,cleared to land three one nor shuttle one five zero zero
uwb-atcc_TWR-0P3ne5_000075_000570_AT,german wings seven papa runway three one cleared to land wind two two zero degrees four knots
uwb-atcc_TWR-0P3ne5_000625_000913_PI,german wings seven papa cleared to land runway three one
uwb-atcc_TWR-0qKeGq_000000_000178_PI,good
uwb-atcc_TWR-0qKeGq_000204_000327_PI,evening air malta five
uwb-atcc_TWR-0qKeGq_000411_000496_PI,holding short
uwb-atcc_TWR-0qKeGq_000570_000848_AT,hello air malta five two nine ruzyne tower roger
uwb-atcc_TWR-0qKeGq_000944_001246_AT,speed bird two zero uniform reduce speed one five zero knots
uwb-atcc_TWR-0qKeGq_001305_001385_PI,roger reduce sp
uwb-atcc_TWR-0rVQ4F_000000_000350_PI,ruzyne tower csa eight zero four we are ready
uwb-atcc_TWR-0rVQ4F_000350_000914_PIAT,csa eight zero four ruzyne tower line up runway one three line up one three csa eight zero four
uwb-atcc_TWR-0yMX97_000124_000378_PI,ruzyne tower csa two zulu alfa ils one
uwb-atcc_TWR-0yMX97_000514_000813_AT,csa two zulu alfa ruzyne tower continue approach
uwb-atcc_TWR-0yMX97_000894_000966_PI,continue
uwb-atcc_TWR-0ZxkoE_000000_000246_AT,easy two delta lima papa lima groun
uwb-atcc_TWR-0ZxkoE_000378_000794_PI,papa lima ground one two one decimal nine csa two delta lima
uwb-atcc_TWR-0ZxkoE_000959_001110_AT,aero flot one four four runway one three clea
uwb-atcc_TWR-0ZxkoE_001161_001352_AT,ind zero nine zero degrees six knots bye
uwb-atcc_TWR-0ZxkoE_001394_001729_PI,takeoff runway one three aero flot one four four have a nice day
uwb-atcc_TWR-0ZxkoE_002318_002710_AT,ruzyne tower csa two mike charlie established ils one
uwb-atcc_TWR-0ZxkoE_002814_002973_AT,easy two mike charlie conti
uwb-atcc_TWR-0ZxkoE_003094_003202_PI,continue approach
uwb-atcc_TWR-1A2Kox_000098_000624_AT,swiss four seven three charlie runway three one cleared for takeoff wind one eight zero degrees four knots good bye
uwb-atcc_TWR-1A2Kox_000680_001181_PIAT,clear takeoff runway three one swiss four seven three charlie
uwb-atcc_TWR-1A2Kox_001511_001725_PI,tower good day speed bird eight five five fully ready
uwb-atcc_TWR-1A2Kox_001868_002179_AT,speed bird eight five five ruzyne tower good afternoon roger
uwb-atcc_TWR-1bYkTi_000000_000451_PI,tower eight five zero zero ils runway three one
uwb-atcc_TWR-1bYkTi_000476_000826_AT,southern air eight five zero zero tower good morning continue approach
uwb-atcc_TWR-1bYkTi_001469_002039_PIAT,lufthansa two hotel tango contact ground one two one nine good bye
uwb-atcc_TWR-1bYkTi_002187_002730_AT,lufthansa seven eight seven runway three one cleared for takeoff wind one six zero degrees three knots good bye
uwb-atcc_TWR-1bYkTi_002730_003073_PI,lufthansa seven eight seven heavy cleared for takeoff runway three bye bye thanks
uwb-atcc_TWR-1Cww5E_000000_000426_AT,csa five one seven contact ruzyne ground one two one decimal nine
uwb-atcc_TWR-1Cww5E_000461_000643_PI,two nine csa seven seven
uwb-atcc_TWR-1Cww5E_000792_001291_AT,turkish one seven six seven runway three one cleared to land wind one six zero degrees four knots
uwb-atcc_TWR-1Cww5E_001319_001653_PI,cleared to land runway three one turkish one seven six seven
uwb-atcc_TWR-1d6lRa_000000_000401_AT,malev eight two zero runway three one clear to land wind one nine zero degrees
uwb-atcc_TWR-1d6lRa_000488_000758_PI,clear to land three one malev eight two zero
uwb-atcc_TWR-1EL4cM_000252_000700_PI,ruzyne tower hello cimber three five two six taxiing for three one fully ready
uwb-atcc_TWR-1EL4cM_000822_001180_AT,hello cimber three five two six ruzyne tower roger line up run
uwb-atcc_TWR-1EL4cM_001396_001638_PI,at three one and wait cimber three five two six
uwb-atcc_TWR-1NNyL3_000066_000573_AT,csa two eight whiskey runway three one cleared for takeoff wind two one zero degrees six knots
uwb-atcc_TWR-1NNyL3_000624_000980_PI,runway three one cleared for takeoff csa two whiskey
uwb-atcc_TWR-1NNyL3_001376_001664_PI,good morning nor shuttle one five one four with you established on the
uwb-atcc_TWR-1NNyL3_001841_002253_AT,nor shuttle one five one four ruzyne tower good afternoon roger
uwb-atcc_TWR-1VLSU9_000081_000648_AT,csa seven eight eight runway one three cleared for takeoff wind zero three zero degrees express arrival three miles
uwb-atcc_TWR-1VLSU9_000673_000783_PI,cleared for takeoff
uwb-atcc_TWR-1VLSU9_000818_000977_PI,runway one three csa seven eight eight
uwb-atcc_TWR-1Wp6vR_000073_000763_PIAT,csa seven three zero runway three one cleared for takeoff wind one eight zero degrees three knots cleared for takeoff three one s
uwb-atcc_TWR-1Wp6vR_000763_000927_PI,csa seven three zero
uwb-atcc_TWR-2BJeKV_000126_000425_AT,csa seven echo charlie line up runway one three
uwb-atcc_TWR-2BJeKV_000474_000706_PI,line up runway one three csa seven echo charlie
uwb-atcc_TWR-2itS52_000059_000288_PI,and ready for departure opera three hundred
uwb-atcc_TWR-2itS52_000726_001464_AT,opera three zero zero roger runway one three line up cleared for takeoff wind three five zero two knots
uwb-atcc_TWR-2itS52_001572_001843_PI,runway one three cleared for takeoff opera jet three hundred
uwb-atcc_TWR-2KXTqd_000171_000793_AT,lufthansa nine juliett charlie traffic information helicopter just landing on heliport
uwb-atcc_TWR-2KXTqd_000793_001385_AT,at the airport it s right of treshold of runway three one will not cross your track
uwb-atcc_TWR-2KXTqd_001464_001744_PI,thank you lufthansa nine two
uwb-atcc_TWR-2KXTqd_001898_002359_AT,lufthansa nine juliett charlie runway three one clear to land wind zero two zero degrees three knots
uwb-atcc_TWR-2KXTqd_002444_002630_AT,lufthansa nine zero eight charlie clear to land runway
uwb-atcc_TWR-2n8DpH_000000_000703_PI,ruzyne tower sky travel six eight two stand three november one zero one eight and ready for clearance
